Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Total," 990,553 "," 210,303 "," 161,110 "," 439,460 "," 45,618 "," 119,630 "," 14,432 "
Afghanistan," 1,624 ", 182 , 46 , 580 , 53 , 196 , 567 
Albania," 2,926 ", 317 , 70 ," 1,483 ", 837 , 215 , 4 
Algeria," 1,162 ", 71 , 28 , 415 , 602 , 42 , 4 
Angola, 141 , 16 , 13 , 61 , 17 , 34 , - 
Anguilla, 32 , 19 , D , D , - , - , 1 
Antigua-Barbuda, 407 , 170 , 9 , 210 , 11 , 6 , 1 
Argentina," 4,227 ", 321 ," 1,158 "," 2,404 ", 32 , 247 , 65 
Armenia," 2,769 ", 249 , 114 ," 1,280 ", 775 , 344 , 7 
Aruba, 51 , 6 , 10 , 35 , - , - , - 
Australia," 3,529 ", 180 ," 1,245 "," 1,638 ", 440 , 11 , 15 
Austria," 1,053 ", 23 , 162 , 218 , 38 , 607 , 5 
Azerbaijan, 447 , 19 , 51 , 188 , 101 , 84 , 4 
Bahamas, 691 , 86 , 77 , 483 , 19 , 21 , 5 
Bahrain, 167 , 18 , 46 , 79 , 7 , 17 , - 
Bangladesh," 11,819 "," 6,208 ", 579 ," 4,666 ", 91 , 227 , 48 
Barbados, 477 , 158 , 44 , 270 , D , D , - 
Belarus," 1,989 ", 89 , 167 , 649 , 697 , 375 , 12 
Belgium, 803 , 25 , 385 , 317 , 61 , 11 , 4 
Belize, 969 , 306 , 64 , 562 , 11 , 11 , 15 
Benin, 373 , 21 , D , 183 , 129 , 34 , D 
Bermuda, 121 , 16 , 34 , 65 , 3 , - , 3 
Bhutan, 159 , 3 , 8 , 23 , 4 , 120 , 1 
Bolivia," 2,005 ", 474 , 298 ," 1,104 ", 28 , 73 , 28 
Bosnia-Herzegovina, 591 , 37 , 40 , 422 , 33 , 59 , - 
Botswana, 101 , - , 34 , 33 , 8 , 26 , - 
Brazil," 10,772 ", 556 ," 2,636 "," 7,205 ", 3 , 259 , 113 
British Virgin Islands, 89 , 30 , 6 , 47 , 6 , - , - 
Brunei, 30 , 3 , 10 , 14 , 3 , - , - 
Bulgaria," 2,720 ", 115 , 340 ," 1,422 ", 780 , 54 , 9 
Burkina Faso, 618 , 21 , 22 , 298 , 128 , 145 , 4 
Burma," 2,064 ", 413 , 62 , 647 , 165 , 776 , 1 
Burundi, 172 , D , D , 30 , 14 , 118 , - 
Cambodia," 2,525 ", 363 , 45 ," 1,721 ", 335 , 56 , 5 
Cameroon," 3,777 ", 236 , 90 ," 1,167 "," 1,096 "," 1,181 ", 7 
Canada," 20,489 "," 1,848 "," 10,528 "," 7,416 ", 345 , 77 , 275 
Cape Verde," 1,669 ", 876 , 8 , 777 , 3 , D , D 
Cayman Islands, 97 , 14 , 17 , 57 , 5 , 4 , - 
Central African Republic, 94 , 7 , D , 17 , D , 66 , 1 
Chad, 190 , 7 , 4 , 22 , 3 , 153 , 1 
Chile," 1,751 ", 205 , 398 ," 1,061 ", 15 , 58 , 14 
"China, People's Republic"," 68,410 "," 12,688 "," 18,507 "," 23,623 ", 33 ," 13,421 ", 138 
Colombia," 20,611 "," 5,271 "," 1,667 "," 12,467 ", 9 ," 1,089 ", 108 
"Congo, Democratic Republic"," 1,804 ", 57 , 21 , 384 ," 1,025 ", 316 , 1 
"Congo, Republic", 932 , 30 , 11 , 194 , 503 , 191 , 3 
Costa Rica," 2,232 ", 267 , 224 ," 1,620 ", 17 , 83 , 21 
Cote d'Ivoire," 1,357 ", 119 , 49 , 587 , 193 , 375 , 34 
Croatia, 316 , 9 , 59 , 199 , 19 , 29 , 1 
Cuba," 31,343 "," 2,468 ", 6 ," 3,048 ", 186 ," 25,631 ", 4 
Cyprus, 174 , 8 , 77 , 64 , 15 , 9 , 1 
Czech Republic, 665 , 23 , 137 , 462 , 28 , 7 , 8 
Czechoslovakia (former), 90 , 4 , 43 , 31 , 3 , 3 , 6 
Denmark, 546 , 28 , 249 , 239 , 19 , 8 , 3 
Djibouti, 122 , 3 , 3 , 19 , 3 , 94 , - 
Dominica, 226 , 143 , 6 , 70 , D , - , D 
Dominican Republic," 41,487 "," 22,291 ", 390 ," 18,578 ", 28 , 106 , 94 
Ecuador," 10,553 "," 4,055 ", 886 ," 5,140 ", D , 242 , D 
Egypt," 10,719 ", 869 , 783 ," 3,301 "," 3,028 "," 2,700 ", 38 
El Salvador," 18,015 "," 8,226 ", 793 ," 7,412 ", - , 401 ," 1,183 "
Equatorial Guinea, 23 , D , D , 11 , D , D , - 
Eritrea, 929 , 66 , 10 , 275 , 44 , 533 , 1 
Estonia, 198 , 12 , 24 , 133 , 13 , 15 , 1 
Ethiopia," 13,484 "," 1,400 ", 211 ," 5,536 "," 2,299 "," 4,026 ", 12 
Fiji, 825 , 205 , 21 , 350 , 211 , 34 , 4 
Finland, 360 , 7 , 164 , 148 , 36 , D , D 
France," 4,668 ", 214 ," 2,114 "," 1,992 ", 280 , 52 , 16 
Gabon, 153 , D , 8 , 74 , 5 , 63 , D 
Gambia," 1,035 ", 78 , 35 , 646 , 7 , 237 , 32 
Georgia," 1,213 ", 63 , 78 , 656 , 326 , 73 , 17 
Germany," 6,880 ", 246 ," 2,118 "," 3,792 ", 599 , 100 , 25 
Ghana," 10,379 "," 1,341 ", 390 ," 6,398 "," 1,968 ", 262 , 20 
Greece," 1,526 ", 82 , 272 , 990 , 146 , 33 , 3 
Grenada, 676 , 235 , 35 , 395 , 4 , D , D 
Guatemala," 9,829 "," 3,692 ", 740 ," 3,918 ", D , 622 , D 
Guinea," 1,614 ", 90 , 23 , 422 , 180 , 862 , 37 
Guinea-Bissau, 29 , D , D , 22 , 3 , D , - 
Guyana," 5,564 "," 3,403 ", 90 ," 2,042 ", 8 , 11 , 10 
Haiti," 20,083 "," 9,849 ", 98 ," 7,957 ", D ," 1,985 ", D 
Honduras," 8,795 "," 3,133 ", 591 ," 4,551 ", 27 , 236 , 257 
Hong Kong," 2,614 "," 1,098 ", 588 , 856 , 45 , 22 , 5 
Hungary," 1,008 ", 37 , 229 , 619 , 107 , 12 , 4 
Iceland, 147 , D , 82 , 51 , 11 , - , D 
India," 65,506 "," 11,446 "," 33,687 "," 19,101 ", 70 , 961 , 241 
Indonesia," 2,483 ", 239 , 557 ," 1,262 ", 93 , 313 , 19 
Iran," 9,658 "," 1,953 "," 1,088 "," 2,796 "," 3,126 ", 667 , 28 
Iraq," 3,882 ", 151 , 31 , 527 , 20 ," 1,569 "," 1,584 "
Ireland," 1,765 ", 46 , 711 , 924 , 77 , D , D 
Israel," 4,555 ", 313 ," 1,714 "," 2,204 ", 229 , 58 , 37 
Italy," 3,233 ", 177 , 992 ," 1,731 ", 223 , 101 , 9 
Jamaica," 19,052 "," 5,960 ", 640 ," 12,351 ", D , 62 , D 
Japan," 6,383 ", 157 ," 2,532 "," 3,337 ", 300 , 34 , 23 
Jordan," 5,949 "," 1,393 ", 337 ," 2,657 ", 98 ," 1,425 ", 39 
Kazakhstan," 1,025 ", 27 , 79 , 526 , 216 , 164 , 13 
Kenya," 8,253 ", 453 , 539 ," 3,235 ", 890 ," 3,119 ", 17 
"Korea, North", 110 , 21 , 37 , 45 , D , D , - 
"Korea, South"," 22,827 "," 1,745 "," 13,772 "," 7,183 ", 42 , 27 , 58 
Kosovo, 901 , 97 , 21 , 447 , 127 , 209 , - 
Kuwait, 701 , 127 , 107 , 318 , 94 , 53 , 2 
Kyrgyzstan, 609 , 16 , 27 , 202 , 150 , 205 , 9 
Laos, 807 , 69 , 19 , 670 , D , 45 , D 
Latvia, 408 , 24 , 42 , 302 , 26 , 9 , 5 
Lebanon," 3,417 ", 812 , 415 ," 1,352 ", 42 , 783 , 13 
Lesotho, 24 , - , 4 , 8 , 7 , 5 , - 
Liberia," 3,036 ", 383 , 31 ," 1,246 ", 920 , 448 , 8 
Libya, 287 , 15 , 10 , 162 , 34 , 66 , - 
Lithuania, 801 , 55 , 68 , 538 , 120 , 17 , 3 
Luxembourg, 41 , - , 16 , 19 , 3 , 3 , - 
Macau, 169 , 91 , D , 44 , D , - , - 
Macedonia, 905 , 114 , 51 , 565 , 128 , 41 , 6 
Madagascar, 89 , D , 16 , 47 , 18 , D , - 
Malawi, 172 , 8 , 32 , 106 , 10 , 14 , 2 
Malaysia," 8,311 ", 205 , 681 , 600 , 87 ," 6,729 ", 9 
Mali, 695 , 41 , 31 , 358 , 8 , 222 , 35 
Malta, 256 , 7 , 4 , 20 , 6 , 219 , - 
Marshall Islands, 47 , - , 4 , 43 , - , - , - 
Mauritania, 263 , 11 , 3 , 61 , 4 , 184 , - 
Mauritius, 63 , D , 12 , 37 , 7 , D , 1 
Mexico," 134,198 "," 35,626 "," 8,065 "," 85,307 ", 17 , 695 ," 4,488 "
Moldova," 2,428 ", 67 , 53 , 703 , 843 , 630 , 132 
Monaco, 16 , - , 11 , D , D , - , - 
Mongolia, 679 , 17 , 136 , 272 , 89 , 156 , 9 
Montenegro, 252 , 32 , 4 , 186 , 3 , 27 , - 
Morocco," 3,202 ", 319 , 80 ," 2,178 ", 591 , 24 , 10 
Mozambique, 128 , 3 , 8 , 26 , 6 , 85 , - 
Namibia, 68 , - , 20 , 35 , D , 10 , D 
Nepal," 21,681 ", 481 ," 1,287 "," 1,805 "," 3,120 "," 14,968 ", 20 
Netherlands," 1,376 ", 64 , 702 , 545 , 39 , 22 , 4 
Netherlands Antilles, 144 , 35 , 20 , 75 , 11 , 3 , - 
New Zealand," 1,027 ", 82 , 321 , 515 , 101 , 4 , 4 
Nicaragua," 2,940 ", 840 , 57 ," 1,820 ", 16 , 125 , 82 
Niger, 49 , D , D , 28 , 11 , - , - 
Nigeria," 13,258 "," 2,025 ", 648 ," 7,749 "," 2,725 ", 91 , 20 
Norway, 389 , 23 , 129 , 215 , 18 , 4 , - 
Oman, 130 , 15 , 44 , 49 , 12 , 4 , 6 
Pakistan," 12,653 "," 3,827 "," 2,175 "," 5,989 ", 16 , 579 , 67 
Palau, 16 , - , D , 13 , - , D , - 
Panama," 1,276 ", 262 , 109 , 855 , 13 , 27 , 10 
Papua New Guinea, 26 , - , 5 , 15 , 6 , - , - 
Paraguay, 437 , 71 , 51 , 283 , D , 28 , D 
Peru," 12,370 "," 3,755 ", 856 ," 7,335 ", 4 , 318 , 102 
Philippines," 52,955 "," 15,143 "," 9,850 "," 27,826 ", 6 , 29 , 101 
Poland," 6,073 "," 1,193 ", 963 ," 3,260 ", 603 , 13 , 41 
Portugal, 917 , 101 , 167 , 626 , 13 , 9 , 1 
Qatar, 413 , 99 , 63 , 158 , 81 , 10 , 2 
Romania," 3,475 ", 285 , 684 ," 1,982 ", 357 , 145 , 22 
Russia," 10,154 ", 477 ," 1,473 "," 5,313 "," 1,519 "," 1,287 ", 85 
Rwanda, 673 , 16 , 8 , 79 , 93 , 472 , 5 
Saint Kitts-Nevis, 266 , 113 , 15 , 127 , 6 , - , 5 
Saint Lucia, 843 , 234 , 28 , 568 , 6 , 3 , 4 
Saint Vincent and the Grenadines, 488 , 152 , 16 , 314 , 3 , - , 3 
Samoa, 226 , 12 , - , 214 , - , - , - 
Saudi Arabia," 1,592 ", 218 , 256 , 758 , 200 , 155 , 5 
Senegal," 1,385 ", 166 , 56 , 907 , 64 , 146 , 46 
Serbia, 867 , 46 , 91 , 622 , 68 , 39 , 1 
Serbia and Montenegro, 552 , 60 , 56 , 267 , 76 , 77 , 16 
Sierra Leone," 1,500 ", 184 , 18 , 799 , 345 , 148 , 6 
Singapore," 1,645 ", 83 ," 1,152 ", 329 , 48 , 30 , 3 
Slovakia, 503 , 29 , 103 , 295 , 31 , 41 , 4 
Slovenia, 61 , - , 14 , 43 , 4 , - , - 
Somalia, 606 , 27 , D , 198 , 7 , 371 , D 
South Africa," 2,693 ", 94 , 886 ," 1,163 ", 309 , 234 , 7 
South Sudan, 24 , D , - , 12 , D , 8 , - 
Soviet Union (former), 562 , 22 , 11 , 470 , 7 , 43 , 9 
Spain," 2,970 ", 180 ," 1,039 "," 1,293 ", 157 , 297 , 4 
Sri Lanka," 1,680 ", 152 , 486 , 516 , 178 , 344 , 4 
Sudan," 1,421 ", 90 , 34 , 518 , 182 , 595 , 2 
Suriname, 170 , 43 , 13 , 106 , D , D , 4 
Swaziland, 29 , D , 12 , 10 , D , D , - 
Sweden," 1,276 ", 70 , 477 , 593 , 100 , 23 , 13 
Switzerland," 1,040 ", 23 , 572 , 361 , 61 , 15 , 8 
Syria," 3,999 ", 925 , 236 ," 1,456 ", 34 ," 1,339 ", 9 
Taiwan," 5,336 ", 870 ," 2,235 "," 2,044 ", 168 , 5 , 14 
Tajikistan, 464 , 16 , 37 , 169 , 170 , 72 , - 
Tanzania, 981 , 52 , 83 , 420 , 47 , 378 , 1 
Thailand," 12,027 ", 373 , 449 ," 3,428 ", 37 ," 7,574 ", 166 
Togo," 1,216 ", 100 , 10 , 615 , 268 , 218 , 5 
Tonga, 338 , 107 , - , 220 , 9 , - , 2 
Trinidad and Tobago," 4,721 "," 1,299 ", 346 ," 2,999 ", 30 , 16 , 31 
Tunisia, 479 , 9 , 41 , 324 , 22 , 82 , 1 
Turkey," 7,189 ", 195 ," 1,251 "," 1,792 ", 728 ," 3,202 ", 21 
Turkmenistan, 168 , 5 , 11 , 65 , 52 , 35 , - 
Turks and Caicos Islands, 55 , 7 , D , 40 , - , D , - 
Uganda," 1,781 ", 115 , 78 , 768 , 139 , 672 , 9 
Ukraine," 8,057 ", 564 , 614 ," 3,966 "," 1,807 ", 830 , 276 
United Arab Emirates," 2,002 ", 387 , 539 , 578 , 294 , 148 , 56 
United Kingdom," 15,321 ", 904 ," 7,005 "," 6,879 ", 439 , 47 , 47 
Uruguay," 1,314 ", 83 , 134 , 952 , - , 129 , 16 
Uzbekistan," 4,139 ", 197 , 71 , 687 ," 2,882 ", 275 , 27 
Venezuela," 9,512 ", 765 ," 2,865 "," 3,673 ", 515 ," 1,657 ", 37 
Vietnam," 26,578 "," 13,595 ", 336 ," 12,397 ", 4 , 198 , 48 
Yemen," 3,553 ", 607 , 31 ," 2,554 ", 104 , 247 , 10 
Zambia, 489 , 24 , 53 , 300 , 17 , 94 , 1 
Zimbabwe, 835 , 27 , 144 , 344 , 23 , 293 , 4 
All other countries, 63 , 12 , 7 , 39 , D , D , - 
Unknown," 10,127 ", 505 ," 2,169 "," 3,446 ", 133 ," 2,398 "," 1,476 "
,,,,,,,
